,PyDate,FSA,ASS,UN,YPG,RS,IC,HZB,ANF,US,IR,IS
0,2011-04-01,0,20,1,0,0,0,0,0,0,0,0
1,2011-05-01,3,35,2,0,1,0,1,0,0,0,0
2,2011-06-01,4,27,1,0,1,1,0,0,0,0,0
3,2011-07-01,4,29,0,0,0,0,0,0,0,0,0
4,2011-08-01,0,16,1,0,0,0,0,0,0,0,0
5,2011-09-01,0,9,1,0,1,0,0,0,0,0,0
6,2011-10-01,3,21,1,0,1,0,0,0,0,0,0
7,2011-11-01,2,7,0,0,0,0,0,0,0,0,0
8,2011-12-01,2,18,1,0,1,0,0,0,1,1,0
9,2012-01-01,6,45,0,0,0,0,0,0,0,0,0
10,2012-02-01,28,77,2,0,19,0,4,0,0,2,0
11,2012-03-01,36,46,6,0,2,0,0,0,0,0,0
12,2012-04-01,3,21,5,0,0,0,0,0,0,0,0
13,2012-05-01,1,5,0,0,1,0,1,1,0,0,0
14,2012-06-01,16,40,2,0,4,0,1,0,0,1,0
15,2012-07-01,30,82,4,0,7,0,0,0,0,2,0
16,2012-08-01,36,66,8,0,2,0,0,0,0,3,0
17,2012-09-01,33,85,4,1,4,1,0,0,0,1,0
18,2012-10-01,43,69,4,2,4,0,0,0,0,0,0
19,2012-11-01,32,44,1,1,2,3,0,0,0,0,0
20,2012-12-01,34,36,0,0,4,0,2,1,0,1,0
21,2013-01-01,30,34,0,0,5,0,2,2,0,3,0
22,2013-02-01,21,23,2,0,2,0,2,0,0,1,0
23,2013-03-01,11,15,3,0,1,0,0,1,0,1,0
24,2013-04-01,42,44,1,0,6,29,7,1,0,2,0
25,2013-05-01,57,67,6,0,5,39,24,1,0,12,0
26,2013-06-01,71,81,6,0,5,42,49,1,1,13,0
27,2013-07-01,47,48,3,0,2,44,11,1,0,2,0
28,2013-08-01,65,59,20,0,3,52,9,0,0,6,0
29,2013-09-01,92,86,13,14,9,57,7,1,0,10,1
30,2013-10-01,92,91,8,10,6,32,10,2,0,4,2
31,2013-11-01,102,112,4,3,11,50,10,1,0,9,5
32,2013-12-01,105,116,6,1,9,55,14,3,0,9,5
33,2014-01-01,96,111,14,4,23,51,30,10,0,24,25
34,2014-02-01,48,67,2,0,6,8,15,2,0,4,18
35,2014-03-01,75,114,7,4,3,4,17,19,0,2,25
36,2014-04-01,49,119,1,0,1,8,12,26,0,1,21
37,2014-05-01,73,134,7,2,1,7,20,29,0,1,32
38,2014-06-01,74,120,3,1,0,11,27,15,0,2,38
39,2014-07-01,89,156,8,5,2,16,46,22,1,0,48
40,2014-08-01,49,83,4,5,2,9,16,9,0,0,31
41,2014-09-01,0,0,0,0,0,1,0,0,0,0,0
42,2014-10-01,0,0,0,0,0,0,0,0,0,0,0
43,2014-11-01,3,9,0,0,1,2,1,2,0,1,0
44,2014-12-01,3,14,0,0,0,0,0,1,0,0,1
45,2015-01-01,0,0,0,0,0,0,0,0,0,0,0
46,2015-02-01,0,0,0,0,0,0,0,0,0,0,0
47,2015-03-01,0,0,0,0,0,0,0,0,0,0,0
48,2015-04-01,0,0,0,0,0,0,0,0,0,0,0
49,2015-05-01,0,0,0,0,0,0,0,0,0,0,0
50,2015-06-01,0,0,0,0,0,0,0,0,0,0,0
51,2015-07-01,0,0,0,0,0,0,0,0,0,0,0
52,2015-08-01,2,6,3,0,0,1,0,0,0,0,3
53,2015-09-01,7,7,4,1,0,4,0,1,0,0,10
54,2015-10-01,10,7,0,3,6,3,0,1,0,0,6
55,2015-11-01,4,8,1,0,15,2,0,0,0,0,4
56,2015-12-01,7,6,2,1,13,5,0,2,0,0,1
57,2016-01-01,6,14,4,1,6,1,1,3,0,0,1
58,2016-02-01,4,11,4,0,12,4,0,1,0,0,3
59,2016-03-01,3,14,1,0,6,0,0,0,0,0,1
